venue_name,address,accessibility_level,accessible_bathroom,notes,source,source_date
Ciss Maddens,"46 Drury St, Dublin 2, D02 E128",Fully Accessible,Yes,"Lower bar section, larger accessible bathroom",Rosie Roaming,2024-01
Dudley's,"48 Thomas St, The Liberties, Dublin, D08 Y44A",Fully Accessible,Yes,"Flush cord hangs from ceiling (hard to reach), small bathroom",Rosie Roaming,2024-01
Flannery's,"6 Camden Street Lower, Saint Kevin's, Dublin 2, D02 TP83",Fully Accessible,Yes,"Ask bartender for key, accessible bathroom up a ramp behind doors",Rosie Roaming,2024-01
Ginger Man,"39-40 Fenian St, Dublin 2, D02 KD51",Fully Accessible,Yes,"Small bathroom, famous for Christmas decorations",Rosie Roaming,2024-01
McCafferty's at The Barge,"42 Charlemont St, Dublin 2, D02 593",Fully Accessible,Yes,"Accessible entrance to left of main entrance (staff must open), live music",Rosie Roaming,2024-01
McGrattan's,"76 Fitzwilliam Lane, Dublin 2",Fully Accessible,Yes,"Wheelchair bathroom at front right, mix of high and regular tables",Rosie Roaming,2024-01
Ryan's Bar (Camden St),"92 Camden Street Lower, Dublin 2, D02 KT51",Fully Accessible,Yes,"Step-free entrance on side of building",Rosie Roaming,2024-01
Searson's,"42-44 Baggot Street Upper, Dublin 4, D04 V210",Fully Accessible,Yes,"Larger accessible bathroom, great outside and inside seating",Rosie Roaming,2024-01
Toners,"139 Baggot Street Lower, Dublin 2",Fully Accessible,Yes,"Back patio/beer garden accessible, bathroom kept locked (ask staff for key)",Rosie Roaming,2024-01
Doheny & Nesbitt,"5 Baggot St Lower, Dublin 2, D02 F866",Accessible Entrance,Unknown,"Level entry, mix of high and low tables, live music, near The Shelbourne",Rosie Roaming,2024-01
Kennedy's,"30-32 Westland Row, Dublin 2, D02 DP70",Accessible Entrance,No,"Bathroom down flight of stairs. Nearby: Ginger Man Pub, Merrion Hotel, National Gallery",Rosie Roaming,2024-01
O'Connor's,"32 Mount St, Dublin 2",Accessible Entrance,No,"5 steps to bathroom, live music Fri/Sat, Thursday pub quiz",Rosie Roaming,2024-01
O'Donoghues,"15 Merrion Row, Dublin",Accessible Entrance,No,"Low tables, live music nightly. Nearby: The Shelbourne, The Merrion, Toners (2 min)",Rosie Roaming,2024-01
O'Neill's Victorian Pub,"36-37 Pearse St, Dublin 2, D02 VX62",Accessible Entrance,No,"Large space, lots of tables, great decor",Rosie Roaming,2024-01
Porterhouse Temple Bar,"16-18 Parliament St, Dublin 2, D02 VR94",Accessible Entrance,No,"Some areas accessible without stairs, live music 7 nights/week",Rosie Roaming,2024-01
The Long Hall,"51 South Great George's Street, Dublin 2, D02 DV74",Accessible Entrance,No,"In business 250+ years, interior unchanged since 1881. Nearby: The Grafton Hotel (8 min)",Rosie Roaming,2024-01
Darkey Kelly's,"19 Fishamble St, Dublin 8, D08 PD8W",Semi-Accessible,Yes,"Entrance on sloped curve (workout to push up), ramp around back of bar, live music nightly",Rosie Roaming,2024-01
Ryan's Bar (Store St),"19 Store St, Dublin 1, D01 NY02",Semi-Accessible,Yes,"Need boost to get inside, near Connolly Station",Rosie Roaming,2024-01
Foley's,"1 Merrion Row, Dublin 2, D02 HY07",Semi-Accessible,No,"Only high-tops (need to transfer), small space, live music sometimes. Nearby: The Shelbourne",Rosie Roaming,2024-01
The Hairy Lemon,"41-42 Stephen Street Lower, Dublin 2",Semi-Accessible,No,"Brown door on Stephen St (staff must open), small step. Nearby: The Grafton Hotel",Rosie Roaming,2024-01
The Brazen Head,"Location TBD",Semi-Accessible,Semi-Accessible,"Limited details available",Rosie Roaming,2024-01
Moss Lane,"37B Pearse St, Dublin 2, D02 N966",Not Recommended,Unknown,"3 inch step, mostly tall seating, not worth the hassle",Rosie Roaming,2024-01
Drury Buildings,"52-55 Drury St, Dublin 2",Fully Accessible,Yes,"Mediterranean menu, stylish space, good cocktails",Irish Times,2022-11
Fade Street Social,"Fade Street, Dublin 2",Fully Accessible,Yes,"Cavernous space, great food, excellent cocktails",Irish Times,2022-11
Allta Rooftop,"Level 5, Trinity Street Car Park, Dublin 2",Fully Accessible,Yes,"Pop-up dining venture, highly talked about",Irish Times,2022-11
Bunsen,"Various locations (except Temple Bar)",Fully Accessible,Yes,"Best burger in Ireland claim, most locations accessible",Irish Times,2022-11
Lennan's Yard,"21A Dawson St, Dublin 2",Fully Accessible,Yes,"Disabled entry push button system in accessible loos",Irish Times,2022-11
The Ivy,"13-17 Dawson St, Dublin 2",Fully Accessible,Yes,"Easy wheelchair accessibility, accommodating staff",Irish Times,2022-11
Balfe's,"2 Balfe Street, Dublin 2",Fully Accessible,Yes,"Spacious layout, no steps. The Westbury Hotel next door also accessible",Irish Times,2022-11
Lemon & Duke,"1 Royal Hibernian Way, Dublin 2",Fully Accessible,Yes,"Natty interior, rugby superstar owners, prime location",Irish Times,2022-11
Anti Social,"101 Francis Street, Dublin 8",Fully Accessible,Yes,"Fine drinks, unique events, El Milagro pop-up taqueria, cocktails/beer/music",Irish Times,2022-11
Tribeca,"65 Ranelagh, Dublin 6",Fully Accessible,Yes,"Famous for wings, no steps",Irish Times,2022-11
The Shelbourne Hotel,"Location TBD",Fully Accessible,Yes,"Fully accessible hotel",Irish Times,2022-11
The Market Bar,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
Tap House,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
The Bernard Shaw,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
Mother Reilly's,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
Peggy Kelly's,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
37 Dawson,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
Cafe en Seine,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
The Jar,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
Opium,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
The Bath,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
The Bailey,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
Krewe,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
The Bridge,"Location TBD",Fully Accessible,Yes,"",Irish Times,2022-11
Tramline,"Hawkins St, Dublin",Fully Accessible,Yes,"Wheelchair levels at all bar areas, kind staff",University Times,2018-03
The Button Factory,"Location TBD",Fully Accessible,Yes,"Newly renovated, kind and accommodating staff",University Times,2018-03
Copper Face Jacks,"Harcourt Street, Dublin",Fully Accessible,Yes,"Most accessible club on Harcourt Street, cheesy music",University Times,2018-03
Whelan's,"Location TBD",Accessible Entrance,Yes,"Ground floor only accessible, spacious wheelchair bathroom, stairs to second gig area",University Times,2018-03
